Console Variable Name                                            | Actual Value     | Default Value    | Minimum        | Maximum        | Help
sv_falldamage_to_below_player_multiplier                         | 1                | 1                |                |                | Scale damage when distributed across two players
cv_bot_ai_bt_debug_target                                        | -1               | -1               |                |                | Draw the behavior tree of the given bot.
sv_memlimit                                                      | 0                | 0                |                |                | If set, whenever a game ends, if the total memory used by the server is greater than this # of megabytes, the server will exit.
fire_incomingheatscale                                           | 0.1              | 0.1              |                |                | 
player_old_armor                                                 | 0                | 0                |                |                | 
sv_bots_get_easier_each_win                                      | 0                | 0                |                |                | If > 0, some # of bots will lower thier difficulty each time they win. The argument defines how many will lower their difficulty each time.
ammo_grenade_limit_bumpmine                                      | 3                | 3                |                |                | 
sv_gameinstructor_disable                                        | 1                | 0                |                |                | Force all clients to disable their game instructors.
mp_weapons_allow_typecount                                       | 5                | 5                |                |                | Determines how many purchases of each weapon type allowed per player per round (0 to disallow purchasing, -1 to have no limit).
score_hostage_proximity_damage_radius_outer                      | 600              | 600              |                |                | Outer radius (zero bonus) for doing damage near hostage
gg_knife_kill_demotes                                            | 1                | 1                |                |                | 0 = knife kill in gungame has no effect on player level, 1 = knife kill demotes player by one level
net_steamcnx_debug                                               | 0                | 0                |                |                | Show debug spew for steam based connections, 2 shows all network traffic for steam sockets.
sv_airaccelerate_parachute                                       | 2.6              | 2.6              |                |                | 
g_debug_vehiclebase                                              | 0                | 0                |                |                | 
bot_coop_force_throw_grenade_chance                              | 0.3              | 0.3              |                |                | 
sv_dz_show_weapon_spawns                                         | 0                | 0                |                |                | 
sv_shield_explosive_damage_crouch_bonus                          | 10               | 10               |                |                | 
nav_generate_fixup_jump_areas                                    | 1                | 1                |                |                | Convert obsolete jump areas into 2-way connections
voice_fadeouttime                                                | 0.0              | 0.0              |                |                | 
sv_visiblemaxplayers                                             | 255              | -1               |                |                | Overrides the max players reported to prospective clients
budget_show_peaks                                                | 1                | 1                |                |                | enable/disable peaks in the budget panel
cl_teamid_min                                                    | 200              | 200              |                |                | 
sv_ladder_scale_speed                                            | 0.78             | 0.78             | 0.000000       | 1.000000       | Scale top speed on ladders
npc_vphysics                                                     | 0                | 0                |                |                | 
mp_tournament                                                    | 0                | 0                |                |                | 
sv_full_alltalk                                                  | 0                | 0                |                |                | Any player (including Spectator team) can speak to any other player
sv_dz_contractkill_reward                                        | 10               | 10               |                |                | Cash bundles to award for a successful contract kill
bot_debug                                                        | 0                | 0                |                |                | For internal testing purposes.
nav_show_light_intensity                                         | 0                | 0                |                |                | 
dsp_db_min                                                       | 80               | 80               |                |                | 
r_flashlight_always_cull_for_single_pass                         | 0                | 0                |                |                | 
r_ForceRestore                                                   | 0                | 0                |                |                | 
budget_panel_width                                               | 512              | 512              |                |                | width in pixels of the budget panel
ai_spread_pattern_focus_time                                     | 0.8              | 0.8              |                |                | 
ai_debugscriptconditions                                         | 0                | 0                |                |                | 
mp_buy_allow_guns                                                | 255              | 255              | 0.000000       | 255.000000     | Whether players can purchase guns: pistols (1), SMGs (2), rifles (4), shotguns (8), sniper rifles (16), heavy MGs (32).
sv_bot_difficulty_kbm                                            | 0                | 0                |                |                | Bot difficulty while playing with Keyboard/Mouse device
mp_damage_scale_t_head                                           | 1.0              | 1.0              |                |                | Scales the damage a T player takes by this much when they take damage in the head (1 == 100%, 0.5 == 50%). REMEMBER! headshots do 4x the damage of the body before this scaler is applied.
mp_retake_t_loadout_full_buy_round                               | 0|2;#GameUI_Reta | 0|2;#GameUI_Reta |                |                | T Loadouts for full buy round when playing bomb site retake.
nav_selected_set_color                                           | 255 255 200 96   | 255 255 200 96   |                |                | Color used to draw the selected set background while editing.
snd_op_test_convar                                               | 1.0              | 1.0              |                |                | 
snd_vox_captiontrace                                             | 0                | 0                |                |                | Shows sentence name for sentences which are set not to show captions.
logaddress_token_secret                                          |                  |                  |                |                | Set a secret string that will be hashed when using logaddress with explicit token hash.
ent_debugkeys                                                    |                  |                  |                |                | 
mp_dm_teammode_kill_score                                        | 1                | 1                |                |                | Team deathmatch victory points to award for enemy kill
mp_competitive_endofmatch_extra_time                             | 0                | 15               |                |                | After a competitive match finishes rematch voting extra time is given for rankings.
bot_quota_mode                                                   | normal           | normal           |                |                | Determines the type of quota. Allowed values: 'normal', 'fill', and 'match'. If 'fill', the server will adjust bots to keep N players in the game, where N is bot_quota. If 'match', the server will maintain a 1:N ratio of humans to bots, where N is bot_quota.
inferno_forward_reduction_factor                                 | 0.9              | 0.9              |                |                | 
voice_threshold                                                  | 4000             | 4000             |                |                | 
snd_vox_seqtimetout                                              | 300              | 300              |                |                | 
r_flex                                                           | 1                | 1                |                |                | 
r_shadowids                                                      | 0                | 0                |                |                | 
cl_clock_correction                                              | 1                | 1                |                |                | Enable/disable clock correction on the client.
stringtable_showsizes                                            | 0                | 0                |                |                | Show sizes of string tables when building for signon 
sk_ally_regen_time                                               | 0.3003           | 0.3003           |                |                | Time taken for an ally to regenerate a point of health.
sv_air_pushaway_dist                                             | 0                | 0                |                |                | 
cc_norepeat                                                      | 5                | 5                |                |                | In multiplayer games, don't repeat captions more often than this many seconds.
mp_dm_bonus_percent                                              | 50               | 50               | 0.000000       |                | Percent of points additionally awarded when someone gets a kill with the bonus weapon during the bonus period.
sv_guardian_min_wave_for_heavy                                   | 0                | 0                |                |                | 
sv_vote_issue_pause_match_spec_only                              | 0                | 0                |                |                | When enabled, only admins start technical pause
inferno_velocity_normal_factor                                   | 0                | 0                |                |                | 
tv_snapshotrate1                                                 | 32               | 32               |                |                | Snapshots broadcasted per second, GOTV[1]
mod_lock_mdls_on_load                                            | 1                | 1                |                |                | 
mod_dont_load_vertices                                           | 0                | 0                |                |                | For the dedicated server, supress loading model vertex data
mat_monitorgamma_tv_enabled                                      | 0                | 0                |                |                | 
joy_deadzone_mode                                                | 0                | 0                |                |                | 0 => Cross-shaped deadzone (default), 1 => Square deadzone.
sv_massreport                                                    | 0                | 0                |                |                | 
mp_guardian_ai_bt_difficulty_max_next_level_bots                 | 3                | 3                |                |                | How many bots to increase difficulty per wave - this many easier bots will get harder.
das_process_overhang_spaces                                      | 0                | 0                |                |                | 
snd_vol_no_xfade                                                 | 5.0              | 5.0              |                |                | If current and target volumes are close, don't cross-fade.
demo_fastforwardfinalspeed                                       | 20               | 20               |                |                | Go this fast when starting to hold FF button.
r_brush_queue_mode                                               | 0                | 0                |                |                | 
vgui_drawtree_visible                                            | 1                | 1                |                |                | Draw the visible panels.
cl_grass_mip_bias                                                | -0.5             | -0.5             | -1.000000      | 1.000000       | 
sv_ladder_dampen                                                 | 0.2              | 0.2              | 0.000000       | 1.000000       | Amount to dampen perpendicular movement on a ladder
mp_restartround                                                  | 0                | 0                |                |                | If non-zero, the current round will restart in the specified number of seconds
sv_spec_hear                                                     | 1                | 1                |                |                | Determines who spectators can hear: 0: only spectators; 1: all players; 2: spectated team; 3: self only; 4: nobody
mp_retake_ct_count                                               | 4                | 4                |                |                | Number of CT's when playing retakes.
mp_retake_t_loadout_upgraded_pistol_round                        | 0|2;#GameUI_Reta | 0|2;#GameUI_Reta |                |                | T Loadouts for upgraded pistol round when playing bomb site retake.
mm_sv_load_test                                                  | 0                | 0                |                |                | 
voice_mixer_volume                                               | 1.0              | 1.0              |                |                | 
r_renderoverlaybatch                                             | 1                | 1                |                |                | 
sv_ledge_mantle_helper                                           | 1                | 1                |                |                | 1=Only improves success of jump+ducks to windows or vents (jump+duck to duck), 2=Improves success of all jump+ducks to ledges, 3=if you can get your eyes above it, you'll pull yourself up
sv_radio_throttle_window                                         | 10               | 10               |                |                | The number of seconds before radio command tokens refresh.
bot_allow_shotguns                                               | 1                | 1                |                |                | If nonzero, bots may use shotguns.
weapon_accuracy_forcespread                                      | 0                | 0                |                |                | Force spread to the specified value.
sv_tablet_show_path_to_nearest_resq                              | 0                | 0                |                |                | 
nav_max_vis_delta_list_length                                    | 64               | 64               |                |                | 
r_proplightingfromdisk                                           | 1                | 1                |                |                | 0=Off, 1=On, 2=Show Errors
spec_replay_leadup_time                                          | 5.3438           | 5.3438           |                |                | Replay time in seconds before the highlighted event
developer                                                        | 0                | 0                |                |                | Set developer message level
paint_min_valid_alpha_value                                      | 0.7f             | 0.7f             |                |                | 
rope_min_pixel_diameter                                          | 2.0              | 2.0              |                |                | 
fs_report_long_reads                                             | 0                | 0                |                |                | 0:Off, 1:All (for tracking accumulated duplicate read times), >1:Microsecond threshold
rr_followup_maxdist                                              | 1800             | 1800             |                |                | 'then ANY' or 'then ALL' response followups will be dispatched only to characters within this distance.
contributionscore_hostage_rescue_minor                           | 1                | 1                |                |                | amount of contribution score added to all alive CTs per hostage rescued
bot_join_team                                                    | any              | any              |                |                | Determines the team bots will join into. Allowed values: 'any', 'T', or 'CT'.
inferno_velocity_decay_factor                                    | 0.2              | 0.2              |                |                | 
adsp_alley_min                                                   | 122              | 122              |                |                | 
sv_parallel_sendsnapshot                                         | 1                | 1                |                |                | 
showbudget_texture                                               | 0                | 0                |                |                | Enable the texture budget panel.
achievement_debug                                                | 0                | 0                |                |                | Turn on achievement debug msgs.
debug_overlay_fullposition                                       | 0                | 0                |                |                | 
sv_usercmd_custom_random_seed                                    | 1                | 1                |                |                | When enabled server will populate an additional random seed independent of the client
mp_join_grace_time                                               | 30               | 0.0              | 0.000000       | 30.000000      | Number of seconds after round start to allow a player to join a game
mp_suicide_penalty                                               | 0                | 1                |                |                | Punish players for suicides
cash_player_interact_with_hostage                                | 150              | 150              |                |                | 
snd_max_pitch_shift_inaccuracy                                   | 0.08             | 0.08             |                |                | 
inferno_initial_spawn_interval                                   | 0.02             | 0.02             |                |                | Time between spawning flames for first fire
sv_turning_inaccuracy_angle_min                                  | 4                | 4                |                |                | 
mm_datacenter_report_version                                     | 5                | 5                |                |                | Data version to report to DC.
snd_debug_panlaw                                                 | 0                | 0                |                |                | Visualize panning crossfade curves
cl_download_demoplayer                                           | 1                | 1                |                |                | Determines whether downloads of external resources are allowed during demo playback (0:no,1:workshop,2:all)
r_drawlightinfo                                                  | 0                | 0                |                |                | 
r_hunkalloclightmaps                                             | 1                | 1                |                |                | 
sv_extra_client_connect_time                                     | 15.0             | 15.0             |                |                | Seconds after client connect during which extra frames are buffered to prevent non-delta'd update
ai_vehicle_avoidance                                             | 1                | 1                |                |                | 
mp_flashlight                                                    | 0                | 0                |                |                | 
gamestats_file_output_directory                                  |                  |                  |                |                | When -gamestatsfileoutputonly is specified, file will be emitted here instead of to modpath 
mp_maxrounds                                                     | 9999999          | 0                | 0.000000       |                | max number of rounds to play before server changes maps
sv_endmatch_item_drop_interval                                   | 1.0              | 1.0              |                |                | The time between drops on the end match scoreboard 
mp_guardian_player_dist_min                                      | 1300             | 1300             |                |                | The distance at which we start to warn a player when they are too far from the guarded bombsite.
sv_vote_issue_surrrender_allowed                                 | 1                | 1                |                |                | Can people hold votes to surrender?
snd_show_print                                                   | 0                | 0                |                |                | Print to console the sounds that are normally printed on screen only. 1 = print to console and to screen; 2 = print only to console
adsp_room_min                                                    | 102              | 102              |                |                | 
demo_highlight_skipthreshold                                     | 10               | 10               |                |                | Number of seconds between previous highlight event and round start that will fast forward instead of skipping.
sv_tags                                                          |                  |                  |                |                | Server tags. Used to provide extra information to clients when they're browsing for servers. Separate tags with a comma.
r_oldlightselection                                              | 0                | 0                |                |                | Set this to revert to HL2's method of selecting lights
mat_tessellation_accgeometrytangents                             | 0                | 0                |                |                | 
mat_vignette_enable                                              | 1                | 1                |                |                | 
mp_clan_ready_signal                                             | ready            | ready            |                |                | Text that team leader from each team must speak for the match to begin
sv_lagcompensateself                                             | 0                | 0                |                |                | Player can lag compensate themselves.
mp_death_drop_defuser                                            | 0                | 1                | 0.000000       | 1.000000       | Drop defuser on player death
mp_weapons_allow_smgs                                            | -1               | -1               |                |                | Determines which team, if any, can purchase SMGs. -1 = any; 0 = non; 2 = Ts; 3 = CTs.
bot_auto_vacate                                                  | 1                | 1                |                |                | If nonzero, bots will automatically leave to make room for human players.
das_max_z_trace_length                                           | 72               | 72               |                |                | Maximum height of player and still test for adsp
cfgver                                                           |                  |                  |                |                | 
snd_gain_max                                                     | 1                | 1                |                |                | 
filesystem_unbuffered_io                                         | 1                | 1                |                |                | 
sv_stepsize                                                      | 18               | 18               |                |                | 
mp_consecutive_loss_aversion                                     | 1                | 1                | 0.000000       |                | How loss streak is affected with round win: 0 = win fully resets loss bonus, 1 = first win steps down loss bonus, 2 = first win holds loss bonus and step down starting with second win
mp_guardian_loc_weapon                                           |                  |                  |                |                | Override to weapon dialog var applied to UI
sv_guardian_extra_equipment_ct                                   |                  |                  |                |                | Extra starting equipment for CT players in guardian modes
mm_events_listeners_validation                                   | 0                | 0                |                |                | 
voice_debugfeedback                                              | 0                | 0                |                |                | 
fs_allow_unsafe_writes                                           | 0                | 0                |                |                | 0: Disallow writes to filesystem locations we don't own. 1: Allow such writes (potentially unsafe).
ai_debug_los                                                     | 0                | 0                |                |                | NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'll show non-solid entities that would do it if they were solid.
sv_dz_zone_damage                                                | 1                | 1                |                |                | 
mp_teamlist                                                      | hgrunt;scientist | hgrunt;scientist |                |                | 
sv_disable_motd                                                  | 1                | 1                |                |                | Prevent the motd from showing.
mp_teamprediction_txt                                            | #SFUIHUD_Spectat | #SFUIHUD_Spectat |                |                | A value between 1 and 99 will set predictions in favor of first team.
sv_alltalk                                                       | 1                | 0                |                |                | Deprecated. Replaced with sv_talk_enemy_dead and sv_talk_enemy_living.
mp_max_armor                                                     | 1                | 2                |                |                | Determines the highest level of armor allowed to be purchased. (0) None, (1) Kevlar, (2) Helmet
inferno_child_spawn_max_depth                                    | 4                | 4                |                |                | 
sv_dz_last_respawn_wave                                          | 3                | 3                |                |                | Missile wave number to prevent respawns, >5 will allow respawns on all waves
snd_occlusion                                                    | 1                | 1                |                |                | 
fog_enable_water_fog                                             | 1                | 1                |                |                | 
sv_hibernate_punt_tv_clients                                     | 0                | 0                |                |                | When enabled will punt all GOTV clients during hibernation
clientport                                                       | 27005            | 27005            |                |                | Host game client port
save_in_memory                                                   | 0                | 0                |                |                | Set to 1 to save to memory instead of disk (Xbox 360)
mat_displacementmap                                              | 1                | 1                |                |                | 
csm_quality_level                                                | 0                | 0                |                |                | Cascaded shadow map quality level, [0,3], 0=VERY_LOW, 3=HIGHEST
sk_npc_leg                                                       | 1                | 1                |                |                | 
prop_active_gib_limit                                            | 64               | 64               |                |                | 
mp_death_drop_breachcharge                                       | 1                | 1                | 0.000000       | 1.000000       | Drop breachcharge on player death
mp_respawnwavetime_t                                             | 10.0             | 10.0             |                |                | Time between respawn waves for Terrorists.
score_hostage_proximity_damage_radius_inner                      | 120              | 120              |                |                | Inner radius (full bonus) for doing damage near hostage
mp_hostages_run_speed_modifier                                   | 1.0              | 1.0              | 0.100000       | 1.500000       | Default is 1.0, slow down hostages by setting this to < 1.0.
weapon_accuracy_nospread                                         | 0                | 0                |                |                | Disable weapon inaccuracy spread
adsp_debug                                                       | 0                | 0                |                |                | 
r_DrawBeams                                                      | 1                | 1                |                |                | 0=Off, 1=Normal, 2=Wireframe
sv_debugmanualmode                                               | 0                | 0                |                |                | Make sure entities correctly report whether or not their network data has changed.
net_paranoid                                                     | 1                | 1                |                |                | 
mat_local_contrast_edge_scale_override                           | -1000.0          | -1000.0          |                |                | 
gl_nvidia_occlusion_workaround                                   | 0                | 0                |                |                | 
g_debug_vehicledriver                                            | 0                | 0                |                |                | 
sv_grenade_trajectory_thickness                                  | 0.2              | 0.2              | 0.100000       | 1.000000       | Visible thickness of grenade trajectory arc
g_debug_ragdoll_removal                                          | 0                | 0                |                |                | 
ammo_grenade_limit_total                                         | 3                | 3                |                |                | 
mp_spectators_max                                                | 128              | 2                | 0.000000       |                | How many spectators are allowed in a match.
tablet_c4_dist_max                                               | 3000             | 3000             |                |                | 
sv_reservation_grace                                             | 5                | 5                | 3.000000       | 30.000000      | Time in seconds given for a lobby reservation.
ai_test_moveprobe_ignoresmall                                    | 0                | 0                |                |                | 
ammo_9mm_max                                                     | 120              | 120              |                |                | 
score_hostage_rescue_bonus                                       | 100              | 100              |                |                | Points awarded for rescuing a hostage
sv_max_usercmd_future_ticks                                      | 8                | 8                |                |                | Prevents clients from running usercmds too far in the future. Prevents speed hacks.
dsp_vol_2ch                                                      | 1.0              | 1.0              |                |                | 
sv_parallel_send                                                 | 1                | 0                |                |                | Pack and send snapshots in parallel for smoother server tick rate at the expense of spending more CPU.
mem_test_every_n_seconds                                         | 0                | 0                |                |                | Run heap check at a specified interval 
r_lightcachecenter                                               | 1                | 1                |                |                | 
net_showudp_remoteonly                                           | 0                | 0                |                |                | Dump non-loopback udp only
snd_gain_min                                                     | 0.01             | 0.01             |                |                | 
sv_soundemitter_trace                                            | -1               | -1               |                |                | Show all EmitSound calls including their symbolic name and the actual wave file they resolved to. (-1 = for nobody, 0 = for everybody, n = for one entity) 
sv_ggprogressive_autosniper_first                                | 1                | 1                |                |                | Should auto snipers go first or regular snipers?
mp_team_timeout_time                                             | 60               | 60               |                |                | Duration of each timeout.
mp_round_restart_delay                                           | 4                | 7.0              | 0.000000       |                | Number of seconds to delay before restarting a round after a win
mp_win_panel_display_time                                        | 0                | 3                |                |                | The amount of time to show the win panel between matches / halfs
dev_reportmoneychanges                                           | 0                | 0                |                |                | Displays money account changes for players in the console
sv_weapon_require_use_grace_period                               | 1                | 1                |                |                | 
snd_hrtf_voice_delay                                             | 0.1              | 0.1              |                |                | 
snd_async_minsize                                                | 262144           | 262144           |                |                | 
dbg_demofile                                                     | 0                | 0                |                |                | 
mat_queue_priority                                               | 1                | 1                |                |                | 
sv_test_scripted_sequences                                       | 0                | 0                |                |                | Tests for scripted sequences that are embedded in the world. Run through your map with this set to check for NPCs falling through the world.
ai_path_insert_pause_at_obstruction                              | 1                | 1                |                |                | 
ai_debug_speech                                                  | 0                | 0                |                |                | 
hostfile                                                         | host.txt         | host.txt         |                |                | The HOST file to load.
sk_player_head                                                   | 2                | 2                |                |                | 
sv_bots_force_rebuy_every_round                                  | 0                | 0                |                |                | If set, this strips the bots of their weapons every round and forces them to rebuy.
sv_hegrenade_damage_multiplier                                   | 1                | 1                |                |                | 
bot_eco_limit                                                    | 2000             | 2000             |                |                | If nonzero, bots will not buy if their money falls below this amount.
r_eyesize                                                        | 0                | 0                |                |                | 
sv_forcepreload                                                  | 1                | 0                |                |                | Force server side preloading.
net_showdrop                                                     | 0                | 0                |                |                | Show dropped packets in console
budget_history_numsamplesvisible                                 | 100              | 100              |                |                | number of samples to draw in the budget history window. The lower the better as far as rendering overhead of the budget panel
phys_enable_simd_optimizations                                   | 1                | 1                |                |                | enable some additional SIMD/VMX128 optimizations in physics and collision
morph_debug                                                      | 0                | 0                |                |                | 
mat_reduceparticles                                              | 0                | 0                |                |                | 
mat_bumpmap                                                      | 1                | 1                |                |                | 
vis_force                                                        | 0                | 0                |                |                | 
cs_enable_player_physics_box                                     | 0                | 0                |                |                | 
inferno_friendly_fire_duration                                   | 6                | 6                |                |                | For this long, FF is credited back to the thrower.
sv_dz_enable_respawn                                             | 1                | 1                |                |                | 
snd_roundstart_volume                                            | 1.0              | 1.0              |                |                | Relative volume of round start music.
snd_pause_all                                                    | 1                | 1                |                |                | Specifies to pause all sounds and not just voice
mat_defaultlightmap                                              | 1                | 1                |                |                | Default brightness for lightmaps where none have been created in the level.
r_DrawSpecificStaticProp                                         | -1               | -1               |                |                | 
flex_minplayertime                                               | 5                | 5                |                |                | 
mp_footsteps                                                     | 1                | 1                |                |                | 
voice_serverdebug                                                | 0                | 0                |                |                | 
mp_guardian_bot_money_per_wave                                   | 800              | 800              |                |                | The amount of money bots get time each wave the players complete. This # is absolute and not additive, the money is set to (this)x(wave#) for each bot on each wave.
mp_ignore_round_win_conditions                                   | 0                | 0                |                |                | Ignore conditions which would end the current round
mat_force_tonemap_scale                                          | 0.0              | 0.0              |                |                | 
demo_enabledemos                                                 | 1                | 1                |                |                | Enable recording demos (must be set true before loading a map)
mat_luxels                                                       | 0                | 0                |                |                | 
mat_envmapsize                                                   | 128              | 128              |                |                | 
sv_consistency                                                   | 0                | 0                |                |                | Whether the server enforces file consistency for critical files
sv_alternateticks                                                | 0                | 0                |                |                | If set, server only simulates entities on even numbered ticks. 
skill                                                            | 1.000000         | 1                | 1.000000       | 3.000000       | Game skill level (1-3).
res_restrict_access                                              | 0                | 0                |                |                | 
spec_freeze_time_lock                                            | 1.0              | 1.0              |                |                | Time players are prevented from skipping the freeze cam
mp_default_team_winner_no_objective                              | -1               | -1               |                |                | If the map doesn't define an objective (bomb, hostage, etc), the value of this convar will declare the winner when the time runs out in the round.
mp_taser_recharge_time                                           | -1               | -1               |                |                | Determines recharge time for taser. -1 = disabled.
mm_server_search_inet_ping_timeout                               | 3.0              | 3.0              |                |                | How long to wait for internet server details.
snd_sos_show_operator_init                                       | 0                | 0                |                |                | 
net_public_adr                                                   |                  |                  |                |                | For servers behind NAT/DHCP meant to be exposed to the public internet, this is the public facing ip address string: ("x.x.x.x" )
gl_amd_occlusion_workaround                                      | 1                | 1                |                |                | 
async_simulate_delay                                             | 0                | 0                |                |                | Simulate a delay of up to a set msec per file operation
g_debug_vehicleexit                                              | 0                | 0                |                |                | 
bot_zombie                                                       | 0                | 0                |                |                | If nonzero, bots will stay in idle mode and not attack.
nav_drag_selection_volume_zmax_offset                            | 32               | 32               |                |                | The offset of the nav drag volume top from center
snd_sos_show_entry_match_free                                    | 0                | 0                |                |                | 
